epoch,step,train_discriminator_accuracy,train_discriminator_loss,train_generator_loss,validation_discriminator_accuracy,validation_discriminator_loss,validation_generator_loss
246,5433,,,,0.8571428571428571,1.0915708541870117,0.9398369789123535
247,5449,0.78125,1.0730345249176025,1.0106382369995117,,,
247,5455,,,,0.6857142857142857,1.147958755493164,0.6908558011054993
248,5477,,,,0.6857142857142857,1.2455347776412964,1.0762732028961182
249,5499,0.75,1.093237042427063,0.9864230155944824,,,
249,5499,,,,0.7714285714285715,1.1768696308135986,0.7985929250717163
250,5521,,,,0.7,1.1406278610229492,0.7414370775222778
251,5543,,,,0.7142857142857143,1.2266324758529663,0.8800832629203796
252,5549,0.75,1.0982365608215332,1.0178611278533936,,,
252,5565,,,,0.7,1.1575238704681396,0.6697564125061035
253,5587,,,,0.5142857142857142,1.3855544328689575,0.421347975730896
254,5599,0.84375,1.075598120689392,0.8971776962280273,,,
254,5609,,,,0.7142857142857143,1.1928868293762207,0.9615732431411743
255,5631,,,,0.5142857142857142,1.344046711921692,0.48699524998664856
256,5649,0.75,1.1601992845535278,1.2645020484924316,,,
256,5653,,,,0.7,1.216177225112915,0.7468060255050659
257,5675,,,,0.7571428571428571,1.0642096996307373,1.1409119367599487
258,5697,,,,0.7142857142857143,1.1755179166793823,0.7861358523368835
259,5699,0.6875,1.2066421508789062,0.8194909691810608,,,
259,5719,,,,0.7714285714285715,1.1326929330825806,0.928713321685791
260,5741,,,,0.7428571428571429,1.122759461402893,0.8316693305969238
261,5749,0.78125,1.1719818115234375,0.8726657629013062,,,
261,5763,,,,0.8571428571428571,1.042356252670288,0.8538771271705627
262,5785,,,,0.7714285714285715,1.1469619274139404,0.9084304571151733
263,5799,0.875,1.0757172107696533,0.9517631530761719,,,
263,5807,,,,0.7285714285714285,1.1648929119110107,0.8862666487693787
264,5829,,,,0.7428571428571429,1.1458207368850708,0.938936173915863
265,5849,0.78125,1.1286802291870117,0.8452497124671936,,,
265,5851,,,,0.6571428571428571,1.2060235738754272,0.7116739749908447
